,id,symbol_id,candle_type,open_price,high_price,low_price,close_price,volume,vtt,atp,total_buy_quantity,total_sell_quantity,lower_circuit,upper_circuit,bids,asks,date,created_at,modified_at,stoch,stoch_signal
111,707228,585,M5,220.5,221.0,220.2,220.6,96072,,,,,,,{},{},2019-10-30 12:15:00.000000,2019-11-01 16:56:54.773887,2019-11-01 10:03:16.769397,57.57575757575759,58.72242235878611
112,707229,585,M5,220.6,220.85,219.6,220.25,230825,,,,,,,{},{},2019-10-30 12:20:00.000000,2019-11-01 16:56:54.777899,2019-11-01 10:03:16.769454,50.50505050505062,56.82465682465689
113,707230,585,M5,220.45,220.45,218.2,219.5,345000,,,,,,,{},{},2019-10-30 12:25:00.000000,2019-11-01 16:56:54.782171,2019-11-01 10:03:16.769511,35.353535353535435,47.811447811447856
114,707231,585,M5,219.5,219.7,216.65,217.65,767286,,,,,,,{},{},2019-10-30 12:30:00.000000,2019-11-01 16:56:54.787585,2019-11-01 10:03:16.769568,20.0,35.28619528619532
115,707232,585,M5,217.55,218.3,216.5,216.7,602183,,,,,,,{},{},2019-10-30 12:35:00.000000,2019-11-01 16:56:54.791901,2019-11-01 10:03:16.769625,3.9215686274507617,19.758367993662038
116,707233,585,M5,216.75,218.0,215.55,217.35,652366,,,,,,,{},{},2019-10-30 12:40:00.000000,2019-11-01 16:56:54.795862,2019-11-01 10:03:16.769681,29.75206611570228,17.891211581050985
117,707234,585,M5,217.5,219.4,217.35,218.1,824237,,,,,,,{},{},2019-10-30 12:45:00.000000,2019-11-01 16:56:54.800243,2019-11-01 10:03:16.769738,42.14876033057835,25.27413169124377
118,707235,585,M5,218.1,219.3,217.25,218.5,350380,,,,,,,{},{},2019-10-30 12:50:00.000000,2019-11-01 16:56:54.804201,2019-11-01 10:03:16.769795,48.760330578512345,40.22038567493096
119,707236,585,M5,218.5,218.95,218.05,218.65,125746,,,,,,,{},{},2019-10-30 12:55:00.000000,2019-11-01 16:56:54.808459,2019-11-01 10:03:16.769851,51.239669421487655,47.38292011019275
120,707237,585,M5,218.8,218.8,217.4,217.6,162436,,,,,,,{},{},2019-10-30 13:00:00.000000,2019-11-01 16:56:54.812187,2019-11-01 10:03:16.769910,33.88429752066097,44.62809917355363
121,707238,585,M5,217.6,218.5,216.5,216.75,290180,,,,,,,{},{},2019-10-30 13:05:00.000000,2019-11-01 16:56:54.817910,2019-11-01 10:03:16.769968,19.83471074380152,34.986225895316686
122,707239,585,M5,216.75,217.7,216.6,216.9,272207,,,,,,,{},{},2019-10-30 13:10:00.000000,2019-11-01 16:56:54.822204,2019-11-01 10:03:16.770041,22.31404958677683,25.34435261707974
123,707240,585,M5,216.9,217.4,213.85,215.5,1046450,,,,,,,{},{},2019-10-30 13:15:00.000000,2019-11-01 16:56:54.826913,2019-11-01 10:03:16.770103,22.448979591836828,21.53257997413836
124,707241,585,M5,215.6,216.5,215.3,215.6,283154,,,,,,,{},{},2019-10-30 13:20:00.000000,2019-11-01 16:56:54.831356,2019-11-01 10:03:16.770248,24.475524475524455,23.079517884712672
125,707242,585,M5,215.6,216.3,215.5,215.9,170395,,,,,,,{},{},2019-10-30 13:25:00.000000,2019-11-01 16:56:54.836172,2019-11-01 10:03:16.770325,29.285714285714448,25.403406117691876
126,707243,585,M5,215.95,219.6,215.8,217.35,741545,,,,,,,{},{},2019-10-30 13:30:00.000000,2019-11-01 16:56:54.840438,2019-11-01 10:03:16.770387,53.030303030303074,35.597180597180625
127,707244,585,M5,217.1,218.55,217.1,218.5,259060,,,,,,,{},{},2019-10-30 13:35:00.000000,2019-11-01 16:56:54.844396,2019-11-01 10:03:16.770449,79.48717948717966,53.934398934399034
